Nome do Produto,Categoria do Produto,Preço do Produto (R$),Quantidade em Estoque,Filial,Data da Venda 
Pó compacto,Roupas,75.31,78,Filial 1,Indisponivel
Máscara de cílios,Eletrônicos,48.96,84,Filial 8,Indisponivel
Delineador líquido,Alimentos,62.95,2,Filial 4,Indisponivel
Blush em pó,Eletrônicos,18.52,86,Filial 3,Indisponivel
Lápis de sobrancelha,Eletrodomésticos,40.52,77,Filial 9,Indisponivel
Máscara de cílios,Roupas,29.78,37,Filial 5,Indisponivel
Batom matte,Eletrodomésticos,12.52,64,Filial 8,Indisponivel
Pó compacto,Eletrodomésticos,13.36,72,Filial 1,Indisponivel
Delineador líquido,Roupas,38.74,63,Filial 9,Indisponivel
Sombra de olhos,Eletrônicos,73.48,82,Filial 10,Indisponivel
Pó compacto,Alimentos,8.21,83,Filial 6,Indisponivel
Batom matte,Roupas,38.72,98,Filial 9,Indisponivel
Base líquida,Alimentos,77.06,72,Filial 8,Indisponivel
Batom matte,Alimentos,39.47,97,Filial 8,Indisponivel
Corretivo,Roupas,63.48,15,Filial 5,Indisponivel
Batom matte,Alimentos,16.38,36,Filial 3,Indisponivel
Pó compacto,Alimentos,93.83,20,Filial 2,Indisponivel
Blush em pó,Eletrodomésticos,78.12,99,Filial 3,Indisponivel
Lápis de sobrancelha,Roupas,87.91,50,Filial 1,Indisponivel
Lápis de sobrancelha,Roupas,6.37,62,Filial 10,Indisponivel
Máscara de cílios,Alimentos,30.55,19,Filial 5,Indisponivel
Base líquida,Eletrodomésticos,15.05,53,Filial 4,Indisponivel
Sombra de olhos,Eletrodomésticos,90.46,34,Filial 4,Indisponivel
Lápis de sobrancelha,Eletrodomésticos,73.7,82,Filial 6,Indisponivel
Máscara de cílios,Eletrodomésticos,18.36,35,Filial 5,Indisponivel
Lápis de sobrancelha,Roupas,74.71,3,Filial 10,Indisponivel
Pó compacto,Eletrônicos,27.77,26,Filial 6,Indisponivel
Sombra de olhos,Roupas,20.59,24,Filial 10,Indisponivel
Máscara de cílios,Alimentos,73.67,30,Filial 7,Indisponivel
Blush em pó,Roupas,15.88,3,Filial 9,Indisponivel
Corretivo,Eletrônicos,61.68,47,Filial 7,Indisponivel
Pó compacto,Alimentos,82.26,26,Filial 4,Indisponivel
Blush em pó,Roupas,84.16,48,Filial 10,Indisponivel
Batom matte,Roupas,92.67,46,Filial 9,Indisponivel
Blush em pó,Roupas,7.52,72,Filial 5,Indisponivel
Blush em pó,Roupas,29.08,15,Filial 7,Indisponivel
Máscara de cílios,Roupas,36.93,49,Filial 8,Indisponivel
Sombra de olhos,Alimentos,87.74,11,Filial 9,Indisponivel
Blush em pó,Alimentos,46.94,19,Filial 6,Indisponivel
Batom líquido,Eletrônicos,36.05,68,Filial 8,Indisponivel
Pó compacto,Eletrodomésticos,97.34,48,Filial 5,Indisponivel
Corretivo,Eletrodomésticos,84.84,81,Filial 8,Indisponivel
Batom líquido,Eletrodomésticos,36.59,37,Filial 8,Indisponivel
Batom matte,Roupas,37.75,95,Filial 3,Indisponivel
Base líquida,Eletrônicos,83.5,69,Filial 7,Indisponivel
Delineador líquido,Roupas,62.14,70,Filial 10,Indisponivel
Batom matte,Roupas,90.73,71,Filial 4,Indisponivel
Base líquida,Roupas,39.88,86,Filial 10,Indisponivel
Sombra de olhos,Alimentos,76.3,28,Filial 4,Indisponivel
Pó compacto,Eletrônicos,93.96,70,Filial 7,Indisponivel
Base líquida,Eletrodomésticos,78.2,85,Filial 8,Indisponivel
Lápis de sobrancelha,Eletrodomésticos,99.65,82,Filial 7,Indisponivel
Delineador líquido,Alimentos,42.65,91,Filial 4,Indisponivel
Delineador líquido,Roupas,9.02,89,Filial 6,Indisponivel
Pó compacto,Eletrodomésticos,20.35,14,Filial 2,Indisponivel
Corretivo,Eletrônicos,85.12,74,Filial 7,Indisponivel
Sombra de olhos,Eletrodomésticos,44.63,92,Filial 6,Indisponivel
Base líquida,Eletrônicos,42.56,68,Filial 8,Indisponivel
Sombra de olhos,Alimentos,21.37,51,Filial 10,Indisponivel
Blush em pó,Eletrônicos,82.96,93,Filial 2,Indisponivel
Pó compacto,Roupas,63.22,24,Filial 6,Indisponivel
Máscara de cílios,Alimentos,73.58,39,Filial 9,Indisponivel
Batom matte,Roupas,6.6,23,Filial 1,Indisponivel
Sombra de olhos,Eletrônicos,29.03,2,Filial 5,Indisponivel
Base líquida,Alimentos,86.25,67,Filial 6,Indisponivel
Batom líquido,Roupas,31.93,55,Filial 3,Indisponivel
Blush em pó,Eletrônicos,77.77,12,Filial 9,Indisponivel
Blush em pó,Alimentos,45.39,88,Filial 6,Indisponivel
Delineador líquido,Eletrodomésticos,58.66,57,Filial 3,Indisponivel
Máscara de cílios,Alimentos,53.23,7,Filial 8,Indisponivel
Blush em pó,Alimentos,93.83,16,Filial 9,Indisponivel
Pó compacto,Eletrodomésticos,58.78,5,Filial 7,Indisponivel
Corretivo,Eletrônicos,74.34,93,Filial 1,Indisponivel
Lápis de sobrancelha,Alimentos,25.12,42,Filial 3,Indisponivel
Máscara de cílios,Alimentos,57.07,46,Filial 3,Indisponivel
Máscara de cílios,Roupas,95.41,61,Filial 8,Indisponivel
Sombra de olhos,Roupas,85.71,3,Filial 2,Indisponivel
Sombra de olhos,Roupas,32.93,40,Filial 4,Indisponivel
Pó compacto,Eletrodomésticos,68.03,26,Filial 3,Indisponivel
Blush em pó,Roupas,92.69,7,Filial 5,Indisponivel
Blush em pó,Roupas,53.14,3,Filial 4,Indisponivel
Batom matte,Roupas,38.07,50,Filial 6,Indisponivel
Pó compacto,Eletrodomésticos,82.06,5,Filial 3,Indisponivel
Lápis de sobrancelha,Alimentos,64.8,98,Filial 6,Indisponivel
Lápis de sobrancelha,Eletrônicos,29.55,3,Filial 6,Indisponivel
Corretivo,Eletrodomésticos,97.31,18,Filial 5,Indisponivel
Blush em pó,Roupas,32.51,98,Filial 1,Indisponivel
Máscara de cílios,Roupas,34.02,24,Filial 7,Indisponivel
Pó compacto,Roupas,82.6,90,Filial 7,Indisponivel
Máscara de cílios,Eletrodomésticos,55.95,26,Filial 7,Indisponivel
Corretivo,Alimentos,88.09,62,Filial 5,Indisponivel
Corretivo,Eletrônicos,4.03,35,Filial 6,Indisponivel
Sombra de olhos,Eletrodomésticos,24.32,36,Filial 5,Indisponivel
Batom matte,Alimentos,86.22,33,Filial 7,Indisponivel
Sombra de olhos,Eletrônicos,92.57,50,Filial 2,Indisponivel
Pó compacto,Eletrônicos,6.67,15,Filial 2,Indisponivel
Pó compacto,Alimentos,89.54,93,Filial 9,Indisponivel
Base líquida,Eletrônicos,16.77,54,Filial 3,Indisponivel
Base líquida,Eletrônicos,95.89,19,Filial 6,Indisponivel
Sombra de olhos,Roupas,96.63,40,Filial 3,Indisponivel
Batom líquido,Alimentos,70.48,86,Filial 5,Indisponivel
Corretivo,Roupas,34.84,85,Filial 7,Indisponivel
Batom matte,Eletrodomésticos,81.57,6,Filial 1,Indisponivel
Pó compacto,Eletrodomésticos,38.54,93,Filial 9,Indisponivel
Máscara de cílios,Eletrodomésticos,37.14,57,Filial 4,Indisponivel
Pó compacto,Alimentos,38.19,22,Filial 10,Indisponivel
Blush em pó,Roupas,26.8,41,Filial 6,Indisponivel
Blush em pó,Eletrodomésticos,71.43,50,Filial 4,Indisponivel
Corretivo,Eletrodomésticos,49.14,4,Filial 7,Indisponivel
Blush em pó,Roupas,60.48,3,Filial 8,Indisponivel
Batom matte,Roupas,10.73,38,Filial 1,Indisponivel
Delineador líquido,Roupas,44.79,7,Filial 3,Indisponivel
Pó compacto,Eletrônicos,61.98,29,Filial 6,Indisponivel
Lápis de sobrancelha,Eletrodomésticos,71.34,65,Filial 4,Indisponivel
Blush em pó,Eletrodomésticos,35.13,98,Filial 8,Indisponivel
Corretivo,Roupas,87.83,80,Filial 3,Indisponivel
Pó compacto,Roupas,49.7,43,Filial 1,Indisponivel
Base líquida,Roupas,92.18,79,Filial 1,Indisponivel
Máscara de cílios,Alimentos,12.76,38,Filial 6,Indisponivel
Corretivo,Eletrodomésticos,71.01,95,Filial 6,Indisponivel
Batom matte,Eletrônicos,39.76,75,Filial 10,Indisponivel
Delineador líquido,Alimentos,63.67,73,Filial 7,Indisponivel
Máscara de cílios,Roupas,65.56,66,Filial 5,Indisponivel
Delineador líquido,Alimentos,79.52,93,Filial 1,Indisponivel
Batom matte,Alimentos,43.67,33,Filial 2,Indisponivel
Delineador líquido,Roupas,30.81,88,Filial 9,Indisponivel
Batom líquido,Roupas,94.08,38,Filial 9,Indisponivel
Base líquida,Eletrodomésticos,49.94,78,Filial 4,Indisponivel
Corretivo,Eletrônicos,70.09,5,Filial 6,Indisponivel
Delineador líquido,Alimentos,86.28,3,Filial 7,Indisponivel
Blush em pó,Eletrônicos,42.27,29,Filial 2,Indisponivel
Pó compacto,Eletrônicos,84.13,65,Filial 9,Indisponivel
Sombra de olhos,Roupas,14.96,90,Filial 7,Indisponivel
Corretivo,Eletrodomésticos,27.62,64,Filial 9,Indisponivel
Máscara de cílios,Eletrônicos,77.46,59,Filial 2,Indisponivel
Corretivo,Alimentos,69.86,45,Filial 5,Indisponivel
Batom líquido,Roupas,75.33,34,Filial 1,Indisponivel
Delineador líquido,Eletrodomésticos,39.48,84,Filial 2,Indisponivel
Lápis de sobrancelha,Alimentos,7.47,10,Filial 7,Indisponivel
Blush em pó,Eletrônicos,62.92,73,Filial 3,Indisponivel
Sombra de olhos,Roupas,88.69,54,Filial 1,Indisponivel
Batom líquido,Roupas,65.11,78,Filial 7,Indisponivel
Corretivo,Alimentos,10.78,42,Filial 7,Indisponivel
Máscara de cílios,Roupas,34.36,70,Filial 7,Indisponivel
Base líquida,Alimentos,42.02,58,Filial 1,Indisponivel
Delineador líquido,Roupas,40.28,37,Filial 10,Indisponivel
Pó compacto,Alimentos,79.21,97,Filial 4,Indisponivel
Delineador líquido,Roupas,77.55,29,Filial 8,Indisponivel
Corretivo,Alimentos,41.06,80,Filial 9,Indisponivel
Lápis de sobrancelha,Eletrônicos,95.36,24,Filial 9,Indisponivel
Lápis de sobrancelha,Roupas,70.35,58,Filial 3,Indisponivel
Corretivo,Eletrodomésticos,19.7,12,Filial 10,Indisponivel
Blush em pó,Eletrodomésticos,10.86,38,Filial 10,Indisponivel
Lápis de sobrancelha,Eletrônicos,2.04,47,Filial 3,Indisponivel
Lápis de sobrancelha,Eletrônicos,66.58,31,Filial 7,Indisponivel
Delineador líquido,Alimentos,86.3,63,Filial 2,Indisponivel
Delineador líquido,Roupas,94.66,77,Filial 9,Indisponivel
Pó compacto,Alimentos,92.92,51,Filial 6,Indisponivel
Batom matte,Eletrônicos,73.47,29,Filial 8,Indisponivel
Delineador líquido,Alimentos,90.62,8,Filial 8,Indisponivel
Delineador líquido,Alimentos,37.44,34,Filial 7,Indisponivel
Lápis de sobrancelha,Eletrodomésticos,36.69,16,Filial 2,Indisponivel
Delineador líquido,Roupas,92.52,5,Filial 4,Indisponivel
Máscara de cílios,Eletrodomésticos,98.1,68,Filial 8,Indisponivel
Corretivo,Eletrodomésticos,44.32,35,Filial 2,Indisponivel
Delineador líquido,Eletrodomésticos,82.9,4,Filial 6,Indisponivel
Lápis de sobrancelha,Roupas,83.79,67,Filial 9,Indisponivel
Sombra de olhos,Eletrônicos,92.04,99,Filial 2,Indisponivel
Batom matte,Eletrodomésticos,14.85,38,Filial 1,Indisponivel
Pó compacto,Eletrônicos,6.77,29,Filial 4,Indisponivel
Lápis de sobrancelha,Roupas,73.77,26,Filial 1,Indisponivel
Máscara de cílios,Eletrodomésticos,5.93,18,Filial 3,Indisponivel
Batom matte,Roupas,84.23,25,Filial 6,Indisponivel
Corretivo,Eletrônicos,68.82,27,Filial 9,Indisponivel
Máscara de cílios,Alimentos,35.92,69,Filial 8,Indisponivel
Máscara de cílios,Roupas,59.04,80,Filial 8,Indisponivel
Máscara de cílios,Eletrodomésticos,24.74,12,Filial 4,Indisponivel
Lápis de sobrancelha,Roupas,78.78,34,Filial 5,Indisponivel
Máscara de cílios,Roupas,96.09,72,Filial 2,Indisponivel
Lápis de sobrancelha,Eletrônicos,90.67,96,Filial 2,Indisponivel
Lápis de sobrancelha,Eletrônicos,20.2,53,Filial 10,Indisponivel
Lápis de sobrancelha,Roupas,81.49,18,Filial 3,Indisponivel
Batom líquido,Roupas,85.49,56,Filial 1,Indisponivel
Delineador líquido,Eletrodomésticos,91.79,48,Filial 5,Indisponivel
Base líquida,Eletrodomésticos,51.25,46,Filial 6,Indisponivel
Pó compacto,Eletrodomésticos,51.83,59,Filial 7,Indisponivel
Delineador líquido,Alimentos,14.51,38,Filial 10,Indisponivel
Delineador líquido,Eletrônicos,13.02,26,Filial 7,Indisponivel
Batom matte,Roupas,23.35,41,Filial 10,Indisponivel
Batom matte,Alimentos,71.86,14,Filial 10,Indisponivel
Corretivo,Roupas,92.99,13,Filial 10,Indisponivel
Batom matte,Roupas,66.09,36,Filial 2,Indisponivel
Sombra de olhos,Eletrodomésticos,65.72,48,Filial 3,Indisponivel
Base líquida,Eletrônicos,81.52,50,Filial 3,Indisponivel
Máscara de cílios,Eletrônicos,33.24,9,Filial 10,Indisponivel
Pó compacto,Roupas,82.48,14,Filial 2,Indisponivel
Delineador líquido,Alimentos,14.97,89,Filial 10,Indisponivel
Sombra de olhos,Eletrônicos,37.78,52,Filial 8,Indisponivel
Blush em pó,Alimentos,93.89,32,Filial 3,Indisponivel
Batom líquido,Roupas,39.32,57,Filial 6,Indisponivel
Sombra de olhos,Alimentos,91.42,65,Filial 3,Indisponivel
Blush em pó,Roupas,5.06,24,Filial 3,Indisponivel
Delineador líquido,Eletrodomésticos,11.21,31,Filial 3,Indisponivel
Batom matte,Roupas,14.2,42,Filial 7,Indisponivel
Sombra de olhos,Eletrodomésticos,60.61,18,Filial 9,Indisponivel
Delineador líquido,Alimentos,4.7,58,Filial 8,Indisponivel
Batom matte,Eletrodomésticos,33.46,48,Filial 6,Indisponivel
Blush em pó,Eletrônicos,96.62,86,Filial 6,Indisponivel
Lápis de sobrancelha,Eletrodomésticos,59.07,60,Filial 3,Indisponivel
Sombra de olhos,Eletrodomésticos,15.63,68,Filial 6,Indisponivel
Lápis de sobrancelha,Alimentos,76.87,50,Filial 7,Indisponivel
Sombra de olhos,Eletrônicos,71.5,57,Filial 5,Indisponivel
Lápis de sobrancelha,Roupas,34.09,32,Filial 5,Indisponivel
Delineador líquido,Eletrônicos,71.1,84,Filial 10,Indisponivel
Base líquida,Roupas,76.89,87,Filial 2,Indisponivel
Pó compacto,Eletrodomésticos,19.72,79,Filial 7,Indisponivel
Máscara de cílios,Eletrodomésticos,87.63,30,Filial 7,Indisponivel
Máscara de cílios,Alimentos,46.84,79,Filial 6,Indisponivel
Sombra de olhos,Eletrodomésticos,41.9,55,Filial 3,Indisponivel
Delineador líquido,Eletrônicos,21.81,79,Filial 3,Indisponivel
Delineador líquido,Eletrodomésticos,13.67,1,Filial 1,Indisponivel
Máscara de cílios,Eletrodomésticos,30.13,21,Filial 8,Indisponivel
Sombra de olhos,Eletrônicos,2.67,42,Filial 9,Indisponivel
Batom matte,Eletrônicos,63.19,42,Filial 10,Indisponivel
Máscara de cílios,Roupas,50.78,61,Filial 10,Indisponivel
Pó compacto,Alimentos,74.63,94,Filial 8,Indisponivel
Corretivo,Roupas,46.56,75,Filial 6,Indisponivel
Blush em pó,Eletrônicos,57.78,49,Filial 5,Indisponivel
Delineador líquido,Eletrodomésticos,66.04,52,Filial 9,Indisponivel
Delineador líquido,Eletrônicos,28.44,74,Filial 10,Indisponivel
Base líquida,Alimentos,29.67,40,Filial 10,Indisponivel
Delineador líquido,Eletrodomésticos,30.88,88,Filial 10,Indisponivel
Corretivo,Eletrodomésticos,79.88,6,Filial 4,Indisponivel
Máscara de cílios,Eletrônicos,46.03,49,Filial 8,Indisponivel
Batom matte,Eletrodomésticos,50.95,94,Filial 6,Indisponivel
Pó compacto,Eletrodomésticos,46.7,100,Filial 2,Indisponivel
Base líquida,Eletrônicos,98.28,18,Filial 1,Indisponivel
Batom líquido,Roupas,76.26,3,Filial 9,Indisponivel
Corretivo,Alimentos,54.2,68,Filial 4,Indisponivel
Blush em pó,Eletrodomésticos,51.86,70,Filial 1,Indisponivel
Base líquida,Eletrodomésticos,99.15,55,Filial 6,Indisponivel
Blush em pó,Roupas,4.08,100,Filial 4,Indisponivel
Pó compacto,Alimentos,7.18,13,Filial 3,Indisponivel
Batom líquido,Roupas,94.78,14,Filial 1,Indisponivel
Lápis de sobrancelha,Eletrodomésticos,46.75,87,Filial 5,Indisponivel
Pó compacto,Roupas,22.13,78,Filial 6,Indisponivel
Base líquida,Eletrodomésticos,78.01,82,Filial 4,Indisponivel
Pó compacto,Eletrônicos,90.11,52,Filial 3,Indisponivel
Batom líquido,Eletrônicos,1.2,22,Filial 6,Indisponivel
Base líquida,Alimentos,98.35,58,Filial 10,Indisponivel
Base líquida,Eletrodomésticos,14.48,86,Filial 5,Indisponivel
Corretivo,Eletrônicos,37.37,98,Filial 2,Indisponivel
Sombra de olhos,Eletrônicos,50.97,73,Filial 1,Indisponivel
Máscara de cílios,Eletrodomésticos,36.2,98,Filial 1,Indisponivel
Batom matte,Eletrodomésticos,80.79,44,Filial 8,Indisponivel
Delineador líquido,Eletrônicos,61.19,42,Filial 9,Indisponivel
Blush em pó,Eletrônicos,67.38,62,Filial 2,Indisponivel
Pó compacto,Roupas,11.0,38,Filial 3,Indisponivel
Pó compacto,Eletrônicos,1.69,67,Filial 9,Indisponivel
Delineador líquido,Eletrônicos,54.35,5,Filial 5,Indisponivel
Pó compacto,Eletrodomésticos,89.04,40,Filial 2,Indisponivel
Lápis de sobrancelha,Eletrodomésticos,33.23,29,Filial 4,Indisponivel
Base líquida,Eletrodomésticos,51.18,99,Filial 4,Indisponivel
Batom matte,Roupas,81.12,71,Filial 7,Indisponivel
Base líquida,Eletrodomésticos,42.06,12,Filial 8,Indisponivel
Máscara de cílios,Eletrônicos,25.64,53,Filial 3,Indisponivel
Máscara de cílios,Eletrônicos,42.99,34,Filial 10,Indisponivel
Corretivo,Alimentos,90.76,65,Filial 7,Indisponivel
Máscara de cílios,Alimentos,14.13,83,Filial 1,Indisponivel
Sombra de olhos,Eletrônicos,65.25,60,Filial 6,Indisponivel
Máscara de cílios,Alimentos,70.23,25,Filial 2,Indisponivel
Blush em pó,Alimentos,91.16,41,Filial 7,Indisponivel
Máscara de cílios,Alimentos,98.6,98,Filial 5,Indisponivel
Sombra de olhos,Eletrodomésticos,26.44,61,Filial 1,Indisponivel
Batom líquido,Alimentos,3.84,71,Filial 10,Indisponivel
Blush em pó,Eletrodomésticos,25.89,10,Filial 7,Indisponivel
Blush em pó,Eletrodomésticos,29.28,52,Filial 8,Indisponivel
Batom líquido,Roupas,24.58,42,Filial 3,Indisponivel
Pó compacto,Roupas,48.82,23,Filial 8,Indisponivel
Pó compacto,Alimentos,9.2,81,Filial 2,Indisponivel
Base líquida,Alimentos,64.38,31,Filial 10,Indisponivel
Corretivo,Eletrônicos,48.36,86,Filial 5,Indisponivel
Base líquida,Eletrônicos,91.63,15,Filial 4,Indisponivel
Pó compacto,Eletrodomésticos,38.64,77,Filial 4,Indisponivel
Batom matte,Eletrodomésticos,59.62,12,Filial 6,Indisponivel
Batom matte,Eletrodomésticos,34.91,12,Filial 5,Indisponivel
Base líquida,Eletrônicos,89.65,82,Filial 5,Indisponivel
Pó compacto,Alimentos,32.15,16,Filial 6,Indisponivel
Batom matte,Eletrodomésticos,21.49,29,Filial 5,Indisponivel
Batom matte,Alimentos,51.42,52,Filial 7,Indisponivel
Lápis de sobrancelha,Alimentos,70.13,39,Filial 7,Indisponivel
Batom líquido,Eletrodomésticos,81.51,16,Filial 10,Indisponivel
Batom matte,Eletrodomésticos,53.11,70,Filial 4,Indisponivel
Sombra de olhos,Eletrônicos,3.97,45,Filial 8,Indisponivel
Batom líquido,Roupas,49.56,3,Filial 2,Indisponivel
Sombra de olhos,Eletrodomésticos,31.7,86,Filial 1,Indisponivel
Máscara de cílios,Eletrodomésticos,14.47,4,Filial 2,Indisponivel
Máscara de cílios,Roupas,14.61,79,Filial 2,Indisponivel
Lápis de sobrancelha,Eletrodomésticos,80.58,92,Filial 2,Indisponivel
Pó compacto,Roupas,5.41,94,Filial 2,Indisponivel
Blush em pó,Roupas,67.44,43,Filial 4,Indisponivel
Pó compacto,Alimentos,63.27,26,Filial 4,Indisponivel
Batom líquido,Roupas,4.8,86,Filial 7,Indisponivel
Batom líquido,Eletrodomésticos,32.21,39,Filial 9,Indisponivel
Lápis de sobrancelha,Eletrônicos,28.12,32,Filial 5,Indisponivel
Delineador líquido,Eletrodomésticos,54.04,40,Filial 9,Indisponivel
Blush em pó,Roupas,34.24,93,Filial 7,Indisponivel
Lápis de sobrancelha,Roupas,50.95,6,Filial 3,Indisponivel
Batom líquido,Alimentos,88.87,50,Filial 4,Indisponivel
Pó compacto,Eletrodomésticos,10.73,85,Filial 4,Indisponivel
Máscara de cílios,Roupas,69.04,99,Filial 5,Indisponivel
Blush em pó,Eletrodomésticos,67.5,64,Filial 7,Indisponivel
Lápis de sobrancelha,Eletrodomésticos,57.38,93,Filial 7,Indisponivel
Blush em pó,Eletrônicos,48.03,72,Filial 1,Indisponivel
Corretivo,Eletrônicos,70.15,81,Filial 5,Indisponivel
Batom líquido,Roupas,95.69,75,Filial 4,Indisponivel
Base líquida,Eletrônicos,76.86,53,Filial 1,Indisponivel
Batom matte,Roupas,66.98,34,Filial 2,Indisponivel
Delineador líquido,Eletrônicos,87.93,85,Filial 1,Indisponivel
Sombra de olhos,Roupas,71.65,82,Filial 1,Indisponivel
Corretivo,Roupas,1.85,49,Filial 4,Indisponivel
Sombra de olhos,Alimentos,55.49,86,Filial 3,Indisponivel
Lápis de sobrancelha,Roupas,95.77,47,Filial 9,Indisponivel
Corretivo,Roupas,27.44,63,Filial 5,Indisponivel
Delineador líquido,Alimentos,75.16,84,Filial 9,Indisponivel
Delineador líquido,Alimentos,36.79,35,Filial 6,Indisponivel
Máscara de cílios,Eletrônicos,28.57,10,Filial 3,Indisponivel
Máscara de cílios,Alimentos,23.9,49,Filial 8,Indisponivel
Base líquida,Alimentos,78.19,9,Filial 3,Indisponivel
Máscara de cílios,Roupas,92.16,35,Filial 10,Indisponivel
Máscara de cílios,Roupas,46.48,39,Filial 1,Indisponivel
Pó compacto,Eletrodomésticos,21.85,29,Filial 8,Indisponivel
Delineador líquido,Eletrônicos,65.36,6,Filial 10,Indisponivel
Base líquida,Roupas,42.81,17,Filial 5,Indisponivel
Pó compacto,Alimentos,18.09,13,Filial 8,Indisponivel
Lápis de sobrancelha,Eletrônicos,28.82,32,Filial 10,Indisponivel
Blush em pó,Eletrodomésticos,69.97,18,Filial 7,Indisponivel
Máscara de cílios,Alimentos,32.7,77,Filial 9,Indisponivel
Sombra de olhos,Eletrônicos,53.15,35,Filial 10,Indisponivel
Base líquida,Eletrônicos,71.77,27,Filial 5,Indisponivel
Máscara de cílios,Alimentos,73.5,43,Filial 2,Indisponivel
Corretivo,Alimentos,32.97,91,Filial 9,Indisponivel
Batom líquido,Alimentos,31.83,17,Filial 9,Indisponivel
Base líquida,Roupas,54.38,10,Filial 5,Indisponivel
Pó compacto,Alimentos,58.33,40,Filial 4,Indisponivel
Base líquida,Eletrodomésticos,66.71,76,Filial 10,Indisponivel
Lápis de sobrancelha,Roupas,16.95,42,Filial 6,Indisponivel
Máscara de cílios,Alimentos,7.36,86,Filial 9,Indisponivel
Delineador líquido,Alimentos,58.38,53,Filial 4,Indisponivel
Pó compacto,Eletrodomésticos,72.0,20,Filial 4,Indisponivel
Batom líquido,Eletrodomésticos,17.18,8,Filial 6,Indisponivel
Sombra de olhos,Alimentos,91.7,83,Filial 9,Indisponivel
Batom líquido,Alimentos,96.47,39,Filial 6,Indisponivel
Delineador líquido,Roupas,71.91,99,Filial 4,Indisponivel
Corretivo,Alimentos,18.48,63,Filial 9,Indisponivel
Máscara de cílios,Eletrodomésticos,53.84,65,Filial 5,Indisponivel
Blush em pó,Alimentos,57.96,85,Filial 7,Indisponivel
Pó compacto,Alimentos,58.38,41,Filial 5,Indisponivel
Batom matte,Alimentos,55.27,57,Filial 8,Indisponivel
Base líquida,Alimentos,15.11,30,Filial 1,Indisponivel
Delineador líquido,Eletrônicos,3.59,33,Filial 10,Indisponivel
Lápis de sobrancelha,Roupas,24.02,31,Filial 1,Indisponivel
Base líquida,Eletrônicos,24.87,39,Filial 2,Indisponivel
Sombra de olhos,Eletrodomésticos,5.79,64,Filial 10,Indisponivel
Corretivo,Eletrodomésticos,7.99,19,Filial 8,Indisponivel
Batom matte,Alimentos,56.23,46,Filial 5,Indisponivel
Delineador líquido,Eletrônicos,54.43,28,Filial 8,Indisponivel
Lápis de sobrancelha,Alimentos,85.74,90,Filial 7,Indisponivel
Batom matte,Eletrônicos,21.03,61,Filial 4,Indisponivel
Delineador líquido,Eletrodomésticos,70.25,65,Filial 6,Indisponivel
Batom líquido,Eletrônicos,4.58,93,Filial 7,Indisponivel
Batom líquido,Roupas,11.28,85,Filial 6,Indisponivel
Batom líquido,Alimentos,76.44,78,Filial 10,Indisponivel
Batom matte,Alimentos,83.86,70,Filial 6,Indisponivel
Blush em pó,Eletrônicos,62.93,77,Filial 1,Indisponivel
Corretivo,Alimentos,36.87,5,Filial 6,Indisponivel
Lápis de sobrancelha,Eletrônicos,95.76,76,Filial 7,Indisponivel
Batom líquido,Eletrônicos,30.25,18,Filial 3,Indisponivel
Lápis de sobrancelha,Eletrodomésticos,7.11,48,Filial 5,Indisponivel
Delineador líquido,Eletrodomésticos,61.41,88,Filial 4,Indisponivel
Máscara de cílios,Eletrodomésticos,71.81,70,Filial 6,Indisponivel
Máscara de cílios,Roupas,88.18,28,Filial 5,Indisponivel
Batom matte,Alimentos,85.28,78,Filial 8,Indisponivel
Corretivo,Alimentos,36.89,45,Filial 8,Indisponivel
Batom líquido,Roupas,28.46,83,Filial 4,Indisponivel
Corretivo,Alimentos,8.22,97,Filial 4,Indisponivel
Base líquida,Eletrodomésticos,24.08,84,Filial 10,Indisponivel
Blush em pó,Eletrônicos,9.06,25,Filial 10,Indisponivel
Batom líquido,Alimentos,19.23,68,Filial 10,Indisponivel
Batom matte,Eletrodomésticos,47.09,93,Filial 10,Indisponivel
Lápis de sobrancelha,Roupas,44.97,76,Filial 7,Indisponivel
Base líquida,Alimentos,13.68,52,Filial 5,Indisponivel
Máscara de cílios,Eletrodomésticos,41.71,88,Filial 8,Indisponivel
Delineador líquido,Eletrônicos,63.62,14,Filial 8,Indisponivel
Blush em pó,Alimentos,54.43,26,Filial 1,Indisponivel
Blush em pó,Roupas,16.82,9,Filial 10,Indisponivel
Base líquida,Roupas,59.46,6,Filial 10,Indisponivel
Base líquida,Eletrônicos,69.78,30,Filial 9,Indisponivel
Corretivo,Alimentos,72.97,74,Filial 6,Indisponivel
Base líquida,Alimentos,45.95,16,Filial 1,Indisponivel
Delineador líquido,Roupas,67.65,22,Filial 8,Indisponivel
Batom matte,Eletrodomésticos,57.19,50,Filial 4,Indisponivel
Blush em pó,Alimentos,71.19,84,Filial 7,Indisponivel
Pó compacto,Eletrodomésticos,33.18,67,Filial 3,Indisponivel
Batom líquido,Roupas,77.2,65,Filial 10,Indisponivel
Blush em pó,Roupas,73.63,13,Filial 4,Indisponivel
Blush em pó,Eletrônicos,92.41,63,Filial 6,Indisponivel
Base líquida,Alimentos,72.93,11,Filial 8,Indisponivel
Corretivo,Eletrodomésticos,67.21,86,Filial 3,Indisponivel
Corretivo,Roupas,34.61,70,Filial 7,Indisponivel
Máscara de cílios,Roupas,32.79,21,Filial 5,Indisponivel
